Bowler,Matches,Wickets,Average,Economy,SR,Big,Performance
SB Jakati,57,47,31.36,8.1,23.23,0.0351,0.0364
SB Joshi,4,1,82.0,8.2,60.0,0.0,0.0
SB Styris,11,8,34.75,7.72,27.0,0.0909,0.1
SB Wagh,8,5,29.4,8.65,20.4,0.125,0.1429
SC Ganguly,20,10,37.0,8.04,27.6,0.0,0.0
SD Chitnis,2,2,31.0,10.33,18.0,0.0,0.0
SE Bond,8,9,25.0,7.26,20.67,0.0,0.0
SJ Srivastava,14,14,31.71,9.45,20.14,0.0,0.0
SK Raina,68,25,45.32,7.36,36.96,0.0,0.0
SK Trivedi,75,65,29.91,7.71,23.26,0.0667,0.0714
SK Warne,54,57,25.7,7.36,20.95,0.0926,0.102
SL Malinga,110,154,19.7,7.02,16.83,0.1364,0.1579
SM Boland,2,2,28.0,8.0,21.0,0.0,0.0
SM Harwood,3,3,24.67,7.4,20.0,0.0,0.0
SM Pollock,13,11,27.91,6.67,25.09,0.0769,0.0833
SMSM Senanayake,8,9,23.44,6.59,21.33,0.0,0.0
SN Thakur,26,28,28.86,9.08,19.07,0.1154,0.1304
SP Narine,97,112,22.94,6.69,20.57,0.1237,0.1412
SPD Smith,1,0,5.0,5.0,0.0,0.0,0.0
SR Tendulkar,4,0,59.0,9.83,0.0,0.0,0.0
SR Watson,105,92,29.9,8.07,22.24,0.0762,0.0825
SS Agarwal,1,1,42.0,10.5,24.0,0.0,0.0
SS Mundhe,1,1,6.0,6.0,6.0,0.0,0.0
SS Sarkar,2,1,34.0,6.8,30.0,0.0,0.0
ST Jayasuriya,21,13,30.46,8.08,22.62,0.0476,0.05
STR Binny,58,21,34.33,7.84,26.29,0.0,0.0
SW Tait,21,23,29.04,8.25,21.13,0.1905,0.2353
Sachin Baby,2,2,4.0,4.0,6.0,0.0,0.0
Sandeep Sharma,68,83,23.7,7.9,18.0,0.1324,0.1525
Shahid Afridi,10,9,26.33,7.9,20.0,0.1,0.1111
Shakib Al Hasan,59,57,27.86,7.49,22.32,0.0339,0.0351
Shivam Sharma,5,4,41.25,8.68,28.5,0.0,0.0
Shoaib Ahmed,7,5,30.8,9.06,20.4,0.0,0.0
Shoaib Akhtar,3,5,10.8,7.71,8.4,0.3333,0.5
Shoaib Malik,5,2,43.5,9.67,27.0,0.0,0.0
Sohail Tanvir,11,22,12.5,6.55,11.45,0.4545,0.8333
Sunny Gupta,1,0,47.0,15.67,0.0,0.0,0.0
Swapnil Singh,5,1,90.0,9.0,60.0,0.0,0.0
T Curran,5,6,20.17,11.0,11.0,0.0,0.0
T Henderson,2,1,41.0,6.83,36.0,0.0,0.0
T Natarajan,6,2,58.0,8.92,39.0,0.0,0.0
T Shamsi,4,3,50.33,9.44,32.0,0.0,0.0
T Thushara,6,8,20.5,7.13,17.25,0.0,0.0
TA Boult,28,33,30.24,9.16,19.82,0.0714,0.0769
TG Southee,37,27,44.59,8.66,30.89,0.0541,0.0571
TL Suman,11,6,33.0,7.92,25.0,0.0,0.0
TM Dilshan,25,5,73.6,8.0,55.2,0.0,0.0
TM Head,5,2,40.5,9.0,27.0,0.0,0.0
TP Sudhindra,3,1,137.0,11.42,72.0,0.0,0.0
TS Mills,5,5,31.4,8.72,21.6,0.0,0.0
Tejas Baroka,1,0,33.0,8.25,0.0,0.0,0.0
UT Yadav,107,111,29.27,8.6,20.43,0.1215,0.1383
Umar Gul,6,12,16.5,8.61,11.5,0.3333,0.5
V Kohli,26,4,92.75,8.63,64.5,0.0,0.0
V Pratap Singh,9,10,30.0,8.82,20.4,0.0,0.0
V Sehwag,15,6,39.33,10.26,23.0,0.0,0.0
V Shankar,5,1,81.0,13.5,36.0,0.0,0.0
VR Aaron,40,38,32.89,8.74,22.58,0.025,0.0256
VRV Singh,18,12,45.75,9.15,30.0,0.0556,0.0588
VS Malik,13,6,44.67,7.66,35.0,0.0,0.0
VS Yeligati,2,0,61.0,12.2,0.0,0.0,0.0
VY Mahesh,17,21,24.33,8.81,16.57,0.1176,0.1333
WA Mota,7,4,24.5,8.17,18.0,0.0,0.0
WD Parnell,26,26,28.12,7.54,22.38,0.0769,0.0833
WPUJC Vaas,13,18,20.22,7.58,16.0,0.0769,0.0833
Washington Sundar,17,12,32.58,7.82,25.0,0.0588,0.0625
Y Gnaneswara Rao,1,0,7.0,7.0,0.0,0.0,0.0
Y Nagar,8,4,31.25,11.36,16.5,0.0,0.0
Y Venugopal Rao,20,6,56.33,9.39,36.0,0.0,0.0
YA Abdulla,11,15,20.73,8.89,14.0,0.2727,0.375
YK Pathan,81,42,34.17,7.47,27.43,0.037,0.0385
YS Chahal,69,82,24.41,7.98,18.37,0.087,0.0952
Yuvraj Singh,73,36,30.33,7.48,24.33,0.0548,0.058
Z Khan,99,102,28.04,7.71,21.82,0.0909,0.1
