Bowler,Matches,Wickets,Runs,Overs,Average,Economy,SR,BBI,3WI,Fours,Sixes
RJ Harris,37,45,1085,139,24.11,7.81,18.53,4/34,6,119,27
RJ Peterson,4,3,70,8,23.33,8.75,16.0,3/37,1,5,5
RN ten Doeschate,10,2,94,13,47.0,7.23,39.0,1/7,0,4,3
RP Singh,82,90,2417,299,26.86,8.08,19.93,4/22,11,254,70
RR Bhatkal,1,0,35,2,35.0,17.5,0.0,0/35,0,2,3
RR Bose,1,0,24,2,24.0,12.0,0.0,0/24,0,5,0
RR Powar,26,13,538,71,41.38,7.58,32.77,2/11,0,41,18
RR Raje,10,6,214,24,35.67,8.92,24.0,2/16,0,23,4
RS Bopara,14,11,301,35,27.36,8.6,19.09,3/31,1,25,10
RS Gavaskar,1,0,8,1,8.0,8.0,0.0,0/8,0,1,0
RV Gomez,9,5,130,16,26.0,8.12,19.2,2/14,0,10,7
RW Price,1,0,33,3,33.0,11.0,0.0,0/33,0,2,2
Rashid Khan,31,38,845,122,22.24,6.93,19.26,3/19,5,60,32
S Aravind,38,45,1057,128,23.49,8.26,17.07,4/14,3,105,38
S Badree,12,11,329,43,29.91,7.65,23.45,4/10,1,28,14
S Dhawan,6,4,72,8,18.0,9.0,12.0,1/8,0,7,3
S Gopal,16,18,399,51,22.17,7.82,17.0,4/16,2,18,22
S Kaul,38,43,1186,137,27.58,8.66,19.12,4/30,4,111,36
S Kaushik,10,6,304,34,50.67,8.94,34.0,3/20,1,25,14
S Ladda,9,5,225,23,45.0,9.78,27.6,2/45,0,12,17
S Lamichhane,3,5,91,12,18.2,7.58,14.4,3/37,1,6,4
S Mavi,9,5,288,28,57.6,10.29,33.6,1/19,0,22,16
S Nadeem,59,40,1497,202,37.42,7.41,30.3,3/16,1,96,59
S Narwal,6,5,203,18,40.6,11.28,21.6,3/36,1,17,13
S Rana,3,0,18,3,18.0,6.0,0.0,0/2,0,2,0
S Randiv,8,6,223,29,37.17,7.69,29.0,2/24,0,20,5
S Sreesanth,44,40,1221,148,30.52,8.25,22.2,3/30,1,130,39
S Sriram,2,0,49,3,49.0,16.33,0.0,0/24,0,4,4
S Tyagi,14,6,304,35,50.67,8.69,35.0,2/19,0,34,12
S Vidyut,1,1,22,2,22.0,11.0,12.0,1/22,0,1,2
SA Abbott,2,0,57,5,57.0,11.4,0.0,0/21,0,8,1
SA Yadav,1,0,8,1,8.0,8.0,0.0,0/8,0,1,0
SB Bangar,9,4,221,25,55.25,8.84,37.5,2/35,0,24,7
SB Jakati,57,47,1474,182,31.36,8.1,23.23,4/23,2,97,60
SB Joshi,4,1,82,10,82.0,8.2,60.0,1/27,0,6,5
SB Styris,11,8,278,36,34.75,7.72,27.0,3/32,1,19,14
SB Wagh,8,5,147,17,29.4,8.65,20.4,3/16,1,21,2
SC Ganguly,20,10,370,46,37.0,8.04,27.6,2/23,0,25,14
SD Chitnis,2,2,62,6,31.0,10.33,18.0,2/41,0,4,3
SE Bond,8,9,225,31,25.0,7.26,20.67,2/24,0,27,3
SJ Srivastava,14,14,444,47,31.71,9.45,20.14,2/20,0,50,13
SK Raina,68,25,1133,154,45.32,7.36,36.96,2/0,0,71,44
SK Trivedi,75,65,1944,252,29.91,7.71,23.26,4/25,5,154,51
SK Warne,54,57,1465,199,25.7,7.36,20.95,4/22,5,91,56
SL Malinga,110,154,3034,432,19.7,7.02,16.83,5/13,15,277,63
SM Boland,2,2,56,7,28.0,8.0,21.0,2/31,0,6,1
SM Harwood,3,3,74,10,24.67,7.4,20.0,2/26,0,6,2
SM Pollock,13,11,307,46,27.91,6.67,25.09,3/12,1,30,9
