index,Batsman,Matches,Runs,Average,SR,HardHitter,Finisher,Running
29,AJ Tye,11,93,11.625,134.78,0.7536231884057971,0.2727272727272727,0.7068965517241379
30,AL Menaria,23,395,18.80952380952381,108.22,0.5424657534246575,0.08695652173913043,0.6080246913580247
31,AM Nayar,50,664,17.473684210526315,113.7,0.5753424657534246,0.24,0.6431372549019608
32,AM Rahane,119,3443,33.105769230769226,117.87,0.6264977747346799,0.12605042016806722,0.6462339743589743
33,AN Ahmed,6,36,36.0,133.33,0.8148148148148148,0.8333333333333334,0.6363636363636364
34,AP Tare,27,339,14.125,119.37,0.795774647887324,0.1111111111111111,0.48497854077253216
35,AR Bawne,1,12,12.0,100.0,0.3333333333333333,1.0,0.7272727272727273
36,AR Patel,50,692,19.222222222222218,122.48,0.6017699115044248,0.28,0.7096774193548387
37,AS Rajpoot,5,18,4.5,58.06,0.25806451612903225,0.2,0.3448275862068966
38,AS Raut,16,194,21.555555555555557,112.79,0.5465116279069767,0.4375,0.6578947368421053
39,AS Yadav,20,573,30.157894736842106,132.95,0.8631090487238979,0.05,0.579250720461095
40,AT Rayudu,121,3025,29.950495049504948,127.91,0.7230443974630021,0.1652892561983471,0.6594784353059178
41,AUK Pathan,7,39,7.8,150.0,1.2307692307692308,0.2857142857142857,0.3684210526315789
42,Abdur Razzak,1,0,,0.0,0.0,1.0,0.0
43,Ankit Sharma,13,153,19.125,147.12,0.9038461538461539,0.38461538461538464,0.6941176470588235
44,Ankit Soni,3,7,3.5,77.78,0.6666666666666666,0.3333333333333333,0.125
45,Anureet Singh,8,37,9.25,78.72,0.2978723404255319,0.5,0.5227272727272727
46,Azhar Mahmood,21,388,20.42105263157895,124.76,0.752411575562701,0.09523809523809523,0.5945945945945946
47,B Akhil,11,76,12.666666666666664,133.33,0.8771929824561403,0.45454545454545453,0.5531914893617021
48,B Chipli,21,280,18.666666666666668,109.8,0.6039215686274509,0.2857142857142857,0.5727272727272728
49,B Kumar,37,173,8.238095238095237,97.19,0.4606741573033708,0.43243243243243246,0.5723270440251572
50,B Laughlin,4,5,2.5,38.46,0.0,0.5,0.38461538461538464
51,B Lee,19,124,12.4,122.77,0.7920792079207921,0.47368421052631576,0.5176470588235295
52,B Stanlake,1,5,5.0,250.0,2.0,1.0,1.0
53,B Sumanth,4,35,35.0,92.11,0.3157894736842105,0.75,0.6571428571428571
54,BA Bhatt,2,6,6.0,85.71,0.8571428571428571,0.5,0.0
55,BA Stokes,23,517,23.5,131.89,0.6785714285714286,0.043478260869565216,0.7470238095238095
56,BAW Mendis,3,3,1.5,50.0,0.0,0.3333333333333333,0.5
57,BB McCullum,109,2865,28.088235294117645,127.16,0.8557478916999556,0.06422018348623854,0.5106267029972752
58,BB Samantray,8,125,25.0,107.76,0.5517241379310345,0.375,0.6039603960396039
59,BB Sran,5,7,7.0,70.0,0.0,1.0,0.7
